fdc_id,description,food_category_id
319874,"HUMMUS, SABRA CLASSIC",16
319875,"HUMMUS, SABRA CLASSIC",16
319876,"HUMMUS, SABRA CLASSIC",16
319877,Hummus,16
319878,Hummus,16
319879,"HUMMUS, SABRA CLASSIC",16
319880,"HUMMUS, SABRA CLASSIC",16
319881,"HUMMUS, SABRA CLASSIC",16
319882,Hummus,16
319883,Hummus,16
319884,Hummus,16
319885,"HUMMUS, SABRA CLASSIC",16
319886,"HUMMUS, SABRA CLASSIC",16
319887,"HUMMUS, SABRA CLASSIC",16
319888,"HUMMUS, SABRA CLASSIC",16
319889,"HUMMUS, SABRA CLASSIC",16
319890,"HUMMUS, SABRA CLASSIC",16
319891,"HUMMUS, SABRA CLASSIC",16
319892,Hummus,16
319893,Hummus,16
319894,"HUMMUS, OTHER",16
319895,"HUMMUS, OTHER",16
319896,"HUMMUS, OTHER",16
319897,"HUMMUS, OTHER",16
319898,"HUMMUS, OTHER",16
319899,Hummus,16
319900,Hummus,16
319901,"HUMMUS, SABRA CLASSIC",16
319902,"HUMMUS, SABRA CLASSIC",16
319903,"HUMMUS, SABRA CLASSIC",16
319904,"HUMMUS, SABRA CLASSIC",16
319905,"HUMMUS, SABRA CLASSIC",16
319906,Hummus - NFY12140O,16
319907,Hummus - NFY12140P,16
319908,Hummus,16
319909,Hummus,16
319910,Hummus,16
319911,Hummus,16
319912,Hummus,16
319913,Hummus,16
319914,Hummus,16
319915,Hummus - NFY12140Q,16
319916,Hummus - NFY12140R,16
319917,Hummus - NFY12140S,16
319918,Hummus - NFY12140F,16
319919,Hummus - NFY12140G,16
319920,"Hummus, Sabra Classic - CA1, IN",16
319921,"HUMMUS, SABRA CLASSIC",16
319922,"HUMMUS, SABRA CLASSIC",16
319923,"HUMMUS, SABRA CLASSIC",16
319924,"HUMMUS, SABRA CLASSIC",16
319925,"HUMMUS, SABRA CLASSIC",16
319926,Hummus - NFY12141C,16
319927,Hummus - NFY12141D,16
319928,Hummus,16
319929,Hummus,16
319930,Hummus,16
319931,Hummus,16
319932,Hummus,16
319933,Hummus - NFY12141E,16
319934,Hummus - NFY12141F,16
319935,Hummus - NFY12141G,16
319936,Hummus - NFY12141H,16
319937,Hummus - NFY121416,16
319938,"Hummus, Sabra Classic - GA, NJ",16
319939,"HUMMUS, SABRA CLASSIC",16
319940,"HUMMUS, SABRA CLASSIC",16
319941,"HUMMUS, SABRA CLASSIC",16
319942,"HUMMUS, SABRA CLASSIC",16
319943,"HUMMUS, SABRA CLASSIC",16
319944,Hummus - NFY1213ZV,16
319945,Hummus - NFY1213ZW,16
319946,Hummus,16
319947,Hummus,16
319948,Hummus,16
319949,Hummus,16
319950,Hummus,16
319951,Hummus - NFY1213ZX,16
319952,Hummus - NFY1213ZY,16
319953,Hummus - NFY1213ZZ,16
319954,Hummus - NFY121400,16
319955,Hummus,16
319956,Hummus - NFY1213ZP,16
319957,"Hummus, Sabra Classic - KY, CA2",16
319958,"HUMMUS, TRIBE CLASSIC",16
319959,"HUMMUS, TRIBE CLASSIC",16
319960,"HUMMUS, TRIBE CLASSIC",16
319961,"HUMMUS, TRIBE CLASSIC",16
319962,"HUMMUS, TRIBE CLASSIC",16
319963,"HUMMUS, TRIBE CLASSIC",16
319964,"HUMMUS, TRIBE CLASSIC",16
319965,Hummus - NFY12143C,16
319966,Hummus - NFY12143D,16
319967,Hummus,16
319968,Hummus,16
319969,Hummus,16
319970,Hummus,16
319971,Hummus,16
319972,Hummus,16
319973,Hummus - NFY12143E,16
319974,Hummus - NFY12143F,16
319975,Hummus - NFY12143G,16
319976,Hummus - NFY121435,16
319977,"Hummus, Tribe Classic - GA, NJ",16
319978,"HUMMUS, OTHER",16
319979,"HUMMUS, OTHER",16
319980,"HUMMUS, OTHER",16
319981,Hummus,16
319982,Hummus,16
319983,Hummus,16
319984,"HUMMUS, TRIBE CLASSIC",16
319985,"HUMMUS, TRIBE CLASSIC",16
319986,"HUMMUS, TRIBE CLASSIC",16
319987,"HUMMUS, TRIBE CLASSIC",16
319988,"HUMMUS, TRIBE CLASSIC",16
319989,"HUMMUS, TRIBE CLASSIC",16
319990,"HUMMUS, TRIBE CLASSIC",16
319991,Hummus - NFY12141W,16
319992,Hummus - NFY12141X,16
319993,Hummus,16
319994,Hummus,16
319995,Hummus,16
319996,Hummus,16
319997,Hummus,16
319998,Hummus,16
319999,Hummus - NFY12141Y,16
320000,Hummus - NFY12141Z,16
320001,Hummus - NFY121420,16
320002,Hummus - NFY121421,16
320003,Hummus - NFY12141P,16
320004,"Hummus, Tribe Classic - KY, PA",16
320005,"HUMMUS, OTHER",16
320006,"HUMMUS, OTHER",16
320007,"HUMMUS, OTHER",16
320008,"HUMMUS, OTHER",16
320009,"HUMMUS, OTHER",16
320010,"HUMMUS, OTHER",16
320011,Hummus - NFY12142M,16
320012,Hummus - NFY12142N,16
320013,Hummus,16
320014,Hummus,16
320015,Hummus,16
320016,Hummus,16
320017,Hummus,16
320018,Hummus - NFY12142O,16
320019,Hummus - NFY12142P,16
320020,Hummus - NFY12142Q,16
320021,Hummus - NFY12142R,16
320022,Hummus - NFY12142G,16
320023,"Hummus, Other - AZ, IN",16
320025,"MILK, 2% (WAVE 22E)",1
320026,"MILK, 2% (WAVE 22E)",1
